,Palavra,Frequência
0,petrobras,990
1,reuters,920
2,pontos,890
3,ibovespa,859
4,após,845
5,paulo,829
6,nesta,819
7,mercado,819
8,ações,815
9,on,814
10,alta,812
11,índice,808
12,petróleo,806
13,pn,795
14,vale,740
15,financeiro,739
16,reais,738
17,bilhões,724
18,destaques,718
19,sessão,715
20,brasil,701
21,preços,694
22,sobre,691
23,bolsa,685
24,queda,668
25,cento,653
26,itaú,648
27,china,631
28,bradesco,627
29,ainda,620
30,unibanco,614
31,enquanto,606
32,dia,601
33,empresa,589
34,banco,565
35,minério,553
36,ferro,539
37,ano,536
38,pregão,524
39,exterior,524
40,principal,523
41,investidores,501
42,papéis,500
43,subiu,500
44,governo,485
45,companhia,484
46,analistas,478
47,presidente,467
48,meio,464
49,semana,461
50,setor,458
51,ganhos,454
52,caiu,452
53,tendo,451
54,volume,448
55,paulista,439
56,véspera,435
57,estados,434
58,maior,433
59,disse,431
60,positivo,429
61,bovespa,425
62,cenário,425
63,fechou,419
64,unidos,419
65,radar,415
66,segundo,408
67,acordo,403
68,investimentos,378
69,baixa,374
70,movimento,373
71,trimestre,365
72,perdas,358
73,avançou,358
74,brasileiro,357
75,sextafeira,356
76,arend,355
77,paula,355
78,positiva,354
79,laier,354
80,wall,353
81,eua,351
82,street,350
83,internacional,348
84,ser,347
85,futuros,346
86,nova,346
87,milhões,344
88,recuou,343
89,giro,343
90,apesar,342
91,subia,341
92,contratos,340
93,fechamento,337
94,maiores,329
95,somou,328
96,federal,327
97,país,324
98,vez,318
99,clientes,318
100,forte,317
101,fundo,317
102,segundafeira,316
103,quartafeira,313
104,máxima,309
105,dólar,309
106,respectivamente,309
107,expectativa,306
108,previdência,305
109,mês,301
110,ante,301
111,reforma,299
112,acionário,298
113,resultado,297
114,política,294
115,santander,294
116,economia,293
117,altas,293
118,dados,293
119,sampp,293
120,estatal,292
121,juros,288
122,negativa,288
123,pano,287
124,desde,286
125,período,286
126,antes,283
127,deve,280
128,final,279
129,negativo,276
130,terçafeira,276
131,além,274
132,parte,274
133,unit,274
134,caía,274
135,quintafeira,272
136,diante,272
137,corretora,271
138,relação,269
139,avançava,269
140,nota,269
141,resultados,267
142,mil,266
143,pode,266
144,desempenho,265
145,equipe,264
146,expectativas,263
147,perdeu,261
148,afirmou,259
149,bancos,258
150,externo,257
151,risco,257
152,crescimento,257
153,viés,255
154,papel,254
155,avanço,254
156,câmara,251
157,eletrobras,251
158,usiminas,250
159,mercados,249
160,conforme,248
161,recuperação,246
162,noticiário,245
163,pna,243
164,recomendação,243
165,pregões,242
166,ter,240
167,aumento,240
168,decisão,239
169,ação,239
170,novo,239
171,venda,239
172,bilhão,238
173,pnb,238
174,flavia,236
175,bohone,236
176,csn,234
177,preço,233
178,dois,233
179,quase,231
180,brasileira,229
181,cautela,229
182,desta,228
183,gerdau,226
184,lucro,226
185,recuava,226
186,volatilidade,224
187,azul,224
188,valor,221
189,melhor,221
190,cerca,219
191,comercial,217
192,tom,216
193,notícia,216
194,contra,215
195,cedo,215
196,ativos,215
197,investingcom,212
198,subiram,212
199,empresas,209
200,relatório,208
201,energia,206
202,fim,205
203,central,204
204,momento,204
205,btg,202
206,suzano,198
207,ganhou,197
208,jbs,195
209,pactual,195
210,mínima,193
211,segue,193
212,deputados,193
213,perdia,193
214,oferta,191
215,econômica,191
216,vai,191
217,embora,191
218,cedeu,190
219,processo,190
220,referência,190
221,valorização,189
222,sendo,189
223,anos,189
224,negociações,189
225,esteira,189
226,somava,189
227,dólares,187
228,peso,187
229,primeiro,187
230,principais,186
231,congresso,186
232,preocupações,186
233,global,185
234,abaixo,185
235,político,184
236,negócios,183
237,capital,182
238,varejo,182
239,três,181
240,agentes,181
241,acima,180
242,nacional,179
243,janeiro,179
244,proposta,178
245,devido,178
246,melhora,178
247,produção,177
248,composição,177
249,notícias,176
250,compra,176
251,divulgação,175
252,elevação,175
253,meses,175
254,econômico,174
255,primeira,174
256,controle,174
257,líquido,174
258,aprovação,173
259,privatização,172
260,renda,172
261,liderando,172
262,fortes,170
263,operações,170
264,participação,170
265,celulose,169
266,anúncio,169
267,favorável,168
268,analista,168
269,prazo,168
